Ticker,Instrument,Numeric Bias,Signal,Confidence,Approach,Mode,Hold
GC,Gold,+2,SLIGHT_BULLISH,6,IB_BREAKOUT,INTRADAY,session
SI,Silver,+1,SLIGHT_BULLISH,6,IB_BREAKOUT,INTRADAY,session
CL,Crude Oil,+2,SLIGHT_BULLISH,6,IB_BREAKOUT,INTRADAY,session
ES,S&P 500,+1,SLIGHT_BULLISH,6,IB_BREAKOUT,INTRADAY,session
NQ,Nasdaq 100,+2,SLIGHT_BULLISH,6,IB_BREAKOUT,INTRADAY,session
YM,Dow Jones,+1,SLIGHT_BULLISH,6,IB_BREAKOUT,INTRADAY,session
RTY,Russell 2000,-1,SLIGHT_BEARISH,6,IB_BREAKOUT,INTRADAY,session
6E,Euro,0,NEUTRAL,4,RANGE_TRADE,INTRADAY,session
6A,Australian Dollar,0,NEUTRAL,5,RANGE_TRADE,INTRADAY,session
6J,Japanese Yen,+3,BULLISH,6,TREND_FOLLOW,SWING,1-2 days
