Ticker,Instrument,Numeric Bias,Signal,Confidence,Approach,Mode,Hold
GC,Gold,+5,STRONG_BULLISH,7,TREND_FOLLOW,SWING,2-5 days
SI,Silver,+1,SLIGHT_BULLISH,5,IB_BREAKOUT,INTRADAY,session
CL,Crude Oil,+3,BULLISH,7,TREND_FOLLOW,SWING,1-2 days
ES,S&P 500,+4,BULLISH,6,TREND_FOLLOW,SWING,1-2 days
NQ,Nasdaq 100,+3,BULLISH,6,TREND_FOLLOW,SWING,1-2 days
YM,Dow Jones,+4,BULLISH,6,TREND_FOLLOW,SWING,1-2 days
RTY,Russell 2000,+3,BULLISH,5,IB_BREAKOUT,INTRADAY,session
6E,Euro,+1,SLIGHT_BULLISH,5,RANGE_TRADE,INTRADAY,session
6A,Australian Dollar,-4,BEARISH,7,TREND_FOLLOW,SWING,1-2 days
6J,Japanese Yen,+4,BULLISH,7,TREND_FOLLOW,SWING,1-2 days
