Ticker,Instrument,Numeric Bias,Signal,Confidence,Approach,Mode,Hold
GC,Gold,+7,STRONG_BULLISH,6,TREND_FOLLOW,SWING,2-5 days
SI,Silver,+4,BULLISH,5,TREND_FOLLOW,SWING,1-2 days
CL,Crude Oil,+7,STRONG_BULLISH,6,TREND_FOLLOW,SWING,2-5 days
ES,S&P 500,+6,STRONG_BULLISH,6,TREND_FOLLOW,SWING,1-2 days
NQ,Nasdaq 100,+8,STRONG_BULLISH,7,TREND_FOLLOW,SWING,1-2 days
YM,Dow Jones,+5,STRONG_BULLISH,6,TREND_FOLLOW,SWING,1-2 days
RTY,Russell 2000,+4,BULLISH,5,IB_BREAKOUT,INTRADAY,session
6E,Euro,+1,SLIGHT_BULLISH,4,RANGE_TRADE,INTRADAY,session
6A,Australian Dollar,+3,BULLISH,5,TREND_FOLLOW,SWING,1-2 days
6J,Japanese Yen,-1,SLIGHT_BEARISH,4,IB_BREAKOUT,INTRADAY,session
