Ticker,Instrument,Numeric Bias,Signal,Confidence,Approach,Mode,Hold
GC,Gold,+1,SLIGHT_BULLISH,6,IB_BREAKOUT,INTRADAY,session
SI,Silver,-1,SLIGHT_BEARISH,5,IB_BREAKOUT,INTRADAY,session
CL,Crude Oil,+4,BULLISH,7,TREND_FOLLOW,SWING,1-2 days
ES,S&P 500,-1,SLIGHT_BEARISH,6,IB_BREAKOUT,INTRADAY,session
NQ,Nasdaq 100,-1,SLIGHT_BEARISH,6,IB_BREAKOUT,INTRADAY,session
YM,Dow Jones,+2,SLIGHT_BULLISH,6,IB_BREAKOUT,INTRADAY,session
RTY,Russell 2000,0,NEUTRAL,5,RANGE_TRADE,INTRADAY,session
M6E,Euro,0,NEUTRAL,5,RANGE_TRADE,INTRADAY,session
6A,Australian Dollar,-4,BEARISH,6,TREND_FOLLOW,SWING,1-2 days
6J,Japanese Yen,0,NEUTRAL,5,RANGE_TRADE,INTRADAY,session
