Ticker,Instrument,Numeric Bias,Signal,Confidence,Approach,Mode,Hold
GC,Gold,-5,BEARISH,6,RANGE_TRADE,INTRADAY,session
SI,Silver,-3,BEARISH,6,RANGE_TRADE,INTRADAY,session
CL,Crude Oil,+3,BULLISH,7,TREND_FOLLOW,SWING,2-5 days
ES,S&P 500,-3,BEARISH,6,RANGE_TRADE,INTRADAY,session
NQ,Nasdaq 100,-4,BEARISH,7,RANGE_TRADE,INTRADAY,session
YM,Dow Jones,0,NEUTRAL,5,RANGE_TRADE,INTRADAY,session
RTY,Russell 2000,-1,SLIGHT_BEARISH,6,RANGE_TRADE,INTRADAY,session
6E,Euro,+2,SLIGHT_BULLISH,5,IB_BREAKOUT,INTRADAY,session
6A,Australian Dollar,-2,SLIGHT_BEARISH,6,IB_BREAKOUT,INTRADAY,session
6J,Japanese Yen,+4,BULLISH,7,TREND_FOLLOW,SWING,1-2 days
