Ticker,Instrument,Numeric Bias,Signal,Confidence,Recommended Approach,Mode,Hold Expectation
GC,Gold,-4,BEARISH,7,TREND_FOLLOW,SWING,1-2 days
SI,Silver,-4,BEARISH,6,TREND_FOLLOW,SWING,1-2 days
CL,Crude Oil,+1,SLIGHT_BULLISH,8,IB_BREAKOUT,INTRADAY,session
ES,S&P 500,-4,BEARISH,6,TREND_FOLLOW,SWING,1-2 days
NQ,Nasdaq 100,-4,BEARISH,6,TREND_FOLLOW,SWING,1-2 days
YM,Dow Jones,-2,SLIGHT_BEARISH,6,IB_BREAKOUT,INTRADAY,session
RTY,Russell 2000,-4,BEARISH,7,TREND_FOLLOW,SWING,1-2 days
6E,Euro,-2,SLIGHT_BEARISH,6,RANGE_TRADE,INTRADAY,session
6A,Australian Dollar,-3,BEARISH,6,TREND_FOLLOW,SWING,1-2 days
6J,Japanese Yen,+4,BULLISH,7,TREND_FOLLOW,SWING,1-2 days
