Ticker,Instrument,Numeric Bias,Signal,Confidence,Approach,Mode,Hold
GC,Gold,+5,STRONG_BULLISH,8,TREND_FOLLOW,SWING,2-5 days
SI,Silver,+2,SLIGHT_BULLISH,8,IB_BREAKOUT,INTRADAY,session
CL,Crude Oil,+2,SLIGHT_BULLISH,7,IB_BREAKOUT,INTRADAY,session
ES,S&P 500,+3,BULLISH,6,TREND_FOLLOW,SWING,1-2 days
NQ,Nasdaq 100,+4,BULLISH,6,TREND_FOLLOW,SWING,1-2 days
YM,Dow Jones,+2,SLIGHT_BULLISH,6,IB_BREAKOUT,INTRADAY,session
RTY,Russell 2000,+3,BULLISH,6,TREND_FOLLOW,SWING,1-2 days
6E,Euro,0,NEUTRAL,6,RANGE_TRADE,INTRADAY,session
6A,Australian Dollar,-1,SLIGHT_BEARISH,6,IB_BREAKOUT,INTRADAY,session
6J,Japanese Yen,+4,BULLISH,7,TREND_FOLLOW,SWING,1-2 days
