Ticker,Instrument,Numeric Bias,Signal,Confidence,Approach,Mode,Hold
GC,Gold,+5,STRONG_BULLISH,8,TREND_FOLLOW,SWING,2-5 days
SI,Silver,+2,SLIGHT_BULLISH,5,IB_BREAKOUT,INTRADAY,session
CL,Crude Oil,+1,SLIGHT_BULLISH,6,IB_BREAKOUT,INTRADAY,session
ES,S&P 500,-1,SLIGHT_BEARISH,5,FADE_RANGE,INTRADAY,session
NQ,Nasdaq 100,-1,SLIGHT_BEARISH,5,FADE_RANGE,INTRADAY,session
YM,Dow Jones,-1,SLIGHT_BEARISH,5,FADE_RANGE,INTRADAY,session
RTY,Russell 2000,-1,SLIGHT_BEARISH,5,FADE_RANGE,INTRADAY,session
6E,Euro,-4,BEARISH,7,TREND_FOLLOW,SWING,1-2 days
6A,Australian Dollar,-4,BEARISH,7,TREND_FOLLOW,SWING,1-2 days
6J,Japanese Yen,-1,SLIGHT_BEARISH,5,RANGE_TRADE,INTRADAY,session
