Ticker,Instrument,Numeric Bias,Signal,Confidence,Approach,Mode,Hold
GC,Gold,+7,STRONG_BULLISH,8,TREND_FOLLOW,SWING,2-5 days
SI,Silver,+4,BULLISH,6,IB_BREAKOUT,SWING,1-2 days
CL,Crude Oil,+3,BULLISH,9,TREND_FOLLOW,SWING,2-5 days
ES,S&P 500,+3,BULLISH,7,IB_BREAKOUT,INTRADAY,session
NQ,Nasdaq 100,+3,BULLISH,7,IB_BREAKOUT,INTRADAY,session
YM,Dow Jones,+4,BULLISH,7,IB_BREAKOUT,INTRADAY,session
RTY,Russell 2000,+2,SLIGHT_BULLISH,6,TREND_FOLLOW,SWING,1-2 days
M6E,Euro FX,-3,BEARISH,6,TREND_FOLLOW,SWING,1-2 days
6A,Australian Dollar,-3,BEARISH,5,RANGE_TRADE,INTRADAY,session
6J,Japanese Yen,+4,BULLISH,7,TREND_FOLLOW,SWING,2-5 days
