Ticker,Instrument,Numeric Bias,Signal,Confidence,Approach,Mode,Hold
GC,Gold,0,NEUTRAL,6,RANGE_TRADE,INTRADAY,session
SI,Silver,-1,SLIGHT_BEARISH,6,IB_BREAKOUT,INTRADAY,session
CL,Crude Oil,-1,SLIGHT_BEARISH,7,IB_BREAKOUT,INTRADAY,session
ES,S&P 500,-2,SLIGHT_BEARISH,6,TREND_FOLLOW,SWING,1-2 days
NQ,Nasdaq 100,0,NEUTRAL,6,RANGE_TRADE,INTRADAY,session
YM,Dow Jones,-1,SLIGHT_BEARISH,6,IB_BREAKOUT,INTRADAY,session
RTY,Russell 2000,0,NEUTRAL,6,RANGE_TRADE,INTRADAY,session
M6E,Micro Euro FX,-3,BEARISH,7,TREND_FOLLOW,SWING,2-5 days
6A,Australian Dollar,-3,BEARISH,5,IB_BREAKOUT,INTRADAY,session
6J,Japanese Yen,+3,BULLISH,8,TREND_FOLLOW,SWING,2-5 days
