Ticker,Instrument,Numeric Bias,Signal,Confidence,Approach,Mode,Hold
GC,Gold,+3,BULLISH,8,TREND_FOLLOW,SWING,1-2 days
SI,Silver,+2,SLIGHT_BULLISH,7,IB_BREAKOUT,INTRADAY,session
CL,Crude Oil,+2,SLIGHT_BULLISH,9,IB_BREAKOUT,INTRADAY,session
ES,S&P 500,-3,BEARISH,7,TREND_FOLLOW,SWING,1-2 days
NQ,Nasdaq 100,-1,SLIGHT_BEARISH,7,IB_BREAKOUT,INTRADAY,session
YM,Dow Jones,-1,SLIGHT_BEARISH,6,IB_BREAKOUT,INTRADAY,session
RTY,Russell 2000,-2,SLIGHT_BEARISH,7,IB_BREAKOUT,INTRADAY,session
6E,Euro,-1,SLIGHT_BEARISH,5,RANGE_TRADE,INTRADAY,session
6A,Australian Dollar,-2,SLIGHT_BEARISH,7,IB_BREAKOUT,INTRADAY,session
6J,Japanese Yen,+3,BULLISH,7,TREND_FOLLOW,SWING,1-2 days
