Ticker,Instrument,Numeric Bias,Signal,Confidence,Recommended Approach,Mode,Hold Expectation
GC,Gold,+6,STRONG_BULLISH,8,TREND_FOLLOW,SWING,2-5 days
SI,Silver,+3,BULLISH,7,TREND_FOLLOW,SWING,1-2 days
CL,Crude Oil,+2,SLIGHT_BULLISH,7,IB_BREAKOUT,INTRADAY,session
ES,S&P 500,+2,SLIGHT_BULLISH,6,IB_BREAKOUT,INTRADAY,session
NQ,Nasdaq 100,+2,SLIGHT_BULLISH,6,IB_BREAKOUT,INTRADAY,session
YM,Dow Jones,+1,SLIGHT_BULLISH,6,IB_BREAKOUT,INTRADAY,session
RTY,Russell 2000,0,NEUTRAL,6,RANGE_TRADE,INTRADAY,session
6E,Euro,0,NEUTRAL,6,RANGE_TRADE,INTRADAY,session
6A,Australian Dollar,0,NEUTRAL,6,RANGE_TRADE,INTRADAY,session
6J,Japanese Yen,+5,STRONG_BULLISH,8,TREND_FOLLOW,SWING,2-5 days
